Average cost of fossil fuels for electricity generation (per Btu) for all sectors monthly
https://www.eia.gov/electricity/data/browser/#/topic/15?agg=2,0,1&fuel=vtvv&geo=g&sec=g&freq=M&start=200101&end=202308&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0
15:10:01 GMT+0100 (Central European Standard Time)
Data source: U.S. Energy Information Administration
Month,United States : coal dollars per million Btu
Jul 2023,2.5012
Jul 2023,
Jul 2023,
Jun 2023,2.4853
May 2023,2.4715
May 2023,
May 2023,
Apr 2023,2.5145
Mar 2023,2.4794
Mar 2023,
Mar 2023,
Feb 2023,2.5066
Jan 2023,2.5963
Dec 2022,2.5916
Dec 2022,
Dec 2022,
Nov 2022,2.645
Oct 2022,2.4777
Oct 2022,
Oct 2022,
Sep 2022,2.4609
Aug 2022,2.5078
Jul 2022,2.5065
Jul 2022,
Jul 2022,
Jun 2022,2.4693
May 2022,2.3156
May 2022,
May 2022,
Apr 2022,2.2321
Mar 2022,2.1815
Mar 2022,
Mar 2022,
Feb 2022,2.152
Jan 2022,2.17
Dec 2021,2.2
Dec 2021,
Dec 2021,
Nov 2021,2.0715
Oct 2021,2.0358
Oct 2021,
Oct 2021,
Sep 2021,2.0282
Aug 2021,2.009
Jul 2021,2.0563
Jul 2021,
Jul 2021,
Jun 2021,2.0076
May 2021,1.9521
May 2021,
May 2021,
Apr 2021,1.8932
Mar 2021,1.8953
Mar 2021,
Mar 2021,
Feb 2021,1.8934
Jan 2021,1.9265
Dec 2020,1.9002
Dec 2020,
Dec 2020,
Nov 2020,1.9164
Oct 2020,1.9085
Oct 2020,
Oct 2020,
Sep 2020,1.9119
Aug 2020,1.9396
Jul 2020,1.9375
Jul 2020,
Jul 2020,
Jun 2020,1.9082
May 2020,1.9045
May 2020,
May 2020,
Apr 2020,1.8921
Mar 2020,1.9229
Mar 2020,
Mar 2020,
Feb 2020,1.9306
Jan 2020,1.9045
Dec 2019,1.936
Dec 2019,
Dec 2019,
Nov 2019,1.9125
Oct 2019,1.9615
Oct 2019,
Oct 2019,
Sep 2019,1.957
Aug 2019,1.9579
Jul 2019,1.9995
Jul 2019,
Jul 2019,
Jun 2019,2.0194
May 2019,2.026
May 2019,
May 2019,
Apr 2019,2.0522
Mar 2019,2.0657
Mar 2019,
Mar 2019,
Feb 2019,2.0762
Jan 2019,2.0679
Dec 2018,2.0984
Dec 2018,
Dec 2018,
Nov 2018,2.1112
Oct 2018,2.0567
Oct 2018,
Oct 2018,
Sep 2018,2.0443
Aug 2018,2.0484
Jul 2018,2.0556
Jul 2018,
Jul 2018,
Jun 2018,2.0505
May 2018,2.0417
May 2018,
May 2018,
Apr 2018,2.0436
Mar 2018,2.0669
Mar 2018,
Mar 2018,
Feb 2018,2.038
Jan 2018,2.0652
Dec 2017,2.0635
Dec 2017,
Dec 2017,
Nov 2017,2.0413
Oct 2017,2.0385
Oct 2017,
Oct 2017,
Sep 2017,2.0312
Aug 2017,2.0186
Jul 2017,2.0483
Jul 2017,
Jul 2017,
Jun 2017,2.0577
May 2017,2.0729
May 2017,
May 2017,
Apr 2017,2.0885
Mar 2017,2.0753
Mar 2017,
Mar 2017,
Feb 2017,2.0677
Jan 2017,2.0576
Dec 2016,2.0877
Dec 2016,
Dec 2016,
Nov 2016,2.0759
Oct 2016,2.0824
Oct 2016,
Oct 2016,
Sep 2016,2.0728
Aug 2016,2.1199
Jul 2016,2.1081
Jul 2016,
Jul 2016,
Jun 2016,2.1105
May 2016,2.0968
May 2016,
May 2016,
Apr 2016,2.1605
Mar 2016,2.1562
Mar 2016,
Mar 2016,
Feb 2016,2.1733
Jan 2016,2.1073
Dec 2015,2.119
Dec 2015,
Dec 2015,
Nov 2015,2.1576
Oct 2015,2.1537
Oct 2015,
Oct 2015,
Sep 2015,2.145
Aug 2015,2.2163
Jul 2015,2.2314
Jul 2015,
Jul 2015,
Jun 2015,2.2081
May 2015,2.2531
May 2015,
May 2015,
Apr 2015,2.2623
Mar 2015,2.2336
Mar 2015,
Mar 2015,
Feb 2015,2.2616
Jan 2015,2.2597
Dec 2014,2.2853
Dec 2014,
Dec 2014,
Nov 2014,2.5065
Oct 2014,2.3039
Oct 2014,
