DATE,DCPOP (thousands
1/1/00,278
1/1/01,285
1/1/02,290
1/1/03,295
1/1/04,302
1/1/05,308
1/1/06,313
1/1/07,317
1/1/08,321
1/1/09,327
1/1/10,334
1/1/11,344
1/1/12,340
1/1/13,358
1/1/14,368
1/1/15,361
1/1/16,360
1/1/17,385
1/1/18,418
1/1/19,445
1/1/20,440
1/1/21,446
1/1/22,450
1/1/23,453
1/1/24,456
1/1/25,461
1/1/26,469
1/1/27,476
1/1/28,479
1/1/29,483
1/1/30,488
1/1/31,504
1/1/32,513
1/1/33,529
1/1/34,568
1/1/35,608
1/1/36,629
1/1/37,616
1/1/38,638
1/1/39,658
1/1/40,690
1/1/41,764
1/1/42,851
1/1/43,900
1/1/44,881
1/1/45,876
1/1/46,899
1/1/47,888
1/1/48,840
1/1/49,807
1/1/50,806
1/1/51,808
1/1/52,805
1/1/53,810
1/1/54,791
1/1/55,785
1/1/56,759
1/1/57,763
1/1/58,757
1/1/59,761
1/1/60,765
1/1/61,778
1/1/62,788
1/1/63,798
1/1/64,798
1/1/65,797
1/1/66,791
1/1/67,791
1/1/68,778
1/1/69,762
1/1/70,756.668
1/1/71,749.781
1/1/72,742.241
1/1/73,731.488
1/1/74,717.947
1/1/75,706.871
1/1/76,692.295
1/1/77,677.228
1/1/78,665.052
1/1/79,650.016
1/1/80,638.284
1/1/81,636.893
1/1/82,634.174
1/1/83,632.433
1/1/84,633.382
1/1/85,634.549
1/1/86,638.269
1/1/87,636.93
1/1/88,630.432
1/1/89,624.168
1/1/90,603.814
1/1/91,593.239
1/1/92,584.183
1/1/93,576.358
1/1/94,564.982
1/1/95,551.273
1/1/96,538.273
1/1/97,528.752
1/1/98,521.426
1/1/99,519
1/1/00,572.046
1/1/01,574.504
1/1/02,573.158
1/1/03,568.502
1/1/04,567.754
1/1/05,567.136
1/1/06,570.681
1/1/07,574.404
1/1/08,580.236
1/1/09,592.228
1/1/10,605.282
1/1/11,620.29
1/1/12,635.737
1/1/13,651.559
1/1/14,663.603
1/1/15,677.014
1/1/16,687.576
1/1/17,697.079
1/1/18,704.147
1/1/19,708.253
1/1/20,670.839
1/1/21,669.037
1/1/22,670.949
1/1/23,678.972
