Fossil-fuel stocks for electricity generation for electric power monthly
https://www.eia.gov/electricity/data/browser/#/topic/11?agg=0,1&geo=g&freq=M&start=200801&end=202308&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=
15:13:57 GMT+0100 (Central European Standard Time)
Data source: U.S. Energy Information Administration
Month,United States : coal thousand tons
Jul 2023,117747.893
Jul 2023,
Jul 2023,
Jun 2023,120794.899
May 2023,127663.465
May 2023,
May 2023,
Apr 2023,126495.596
Mar 2023,118038.199
Mar 2023,
Mar 2023,
Feb 2023,109007.411
Jan 2023,99600.193
Dec 2022,92505.036
Dec 2022,
Dec 2022,
Nov 2022,88860.583
Oct 2022,93202.696
Oct 2022,
Oct 2022,
Sep 2022,87342.115
Aug 2022,79354.139
Jul 2022,75569.914
Jul 2022,
Jul 2022,
Jun 2022,79171.989
May 2022,86868.606
May 2022,
May 2022,
Apr 2022,92692.076
Mar 2022,90746.36
Mar 2022,
Mar 2022,
Feb 2022,86143.27
Jan 2022,81034.187
Dec 2021,84541.109
Dec 2021,
Dec 2021,
Nov 2021,91884.252
Oct 2021,89191.877
Oct 2021,
Oct 2021,
Sep 2021,81879.539
Aug 2021,77475.973
Jul 2021,81761.792
Jul 2021,
Jul 2021,
Jun 2021,94974.288
May 2021,108678.173
May 2021,
May 2021,
Apr 2021,117931.739
Mar 2021,115504.93
Mar 2021,
Mar 2021,
Feb 2021,109613.539
Jan 2021,107697.982
Dec 2020,123704.94
Dec 2020,
Dec 2020,
Nov 2020,131430.673
Oct 2020,134522.154
Oct 2020,
Oct 2020,
Sep 2020,132057.87
Aug 2020,127901.62
Jul 2020,128329.733
Jul 2020,
Jul 2020,
Jun 2020,137148.564
May 2020,149935.22
May 2020,
May 2020,
Apr 2020,153715.913
Mar 2020,151533.797
Mar 2020,
Mar 2020,
Feb 2020,145033.507
Jan 2020,139111.548
Dec 2019,134134.027
Dec 2019,
Dec 2019,
Nov 2019,128102.1
Oct 2019,122357.287
Oct 2019,
Oct 2019,
Sep 2019,118566.432
Aug 2019,110614.957
Jul 2019,110268.097
Jul 2019,
Jul 2019,
Jun 2019,110661.384
May 2019,116874.941
May 2019,
May 2019,
Apr 2019,115700.254
Mar 2019,108072.302
Mar 2019,
Mar 2019,
Feb 2019,96932.056
Jan 2019,98637.321
Dec 2018,99144.744
Dec 2018,
Dec 2018,
Nov 2018,102792.854
Oct 2018,104075.187
Oct 2018,
Oct 2018,
Sep 2018,104855.065
Aug 2018,100383.973
Jul 2018,103744.169
Jul 2018,
Jul 2018,
Jun 2018,110348.409
May 2018,121041.362
May 2018,
May 2018,
Apr 2018,127982
Mar 2018,128570.788
Mar 2018,
Mar 2018,
Feb 2018,126007.914
Jan 2018,120525.86
Dec 2017,123234.514
Dec 2017,
Dec 2017,
Nov 2017,137687.148
Oct 2017,143424.037
Oct 2017,
Oct 2017,
Sep 2017,141462.519
Aug 2017,139571.2
Jul 2017,141204.061
Jul 2017,
Jul 2017,
Jun 2017,145811.483
May 2017,158013.959
May 2017,
May 2017,
Apr 2017,162542.242
Mar 2017,163936.912
Mar 2017,
Mar 2017,
Feb 2017,161815.49
Jan 2017,160501.502
Dec 2016,156214.21
Dec 2016,
Dec 2016,
Nov 2016,162009.014
Oct 2016,170276.558
Oct 2016,
Oct 2016,
Sep 2016,160932.26
Aug 2016,156566.909
Jul 2016,158908.174
Jul 2016,
Jul 2016,
Jun 2016,168118.609
May 2016,182086.476
May 2016,
May 2016,
Apr 2016,192416.93
Mar 2016,193185.212
Mar 2016,
Mar 2016,
Feb 2016,191552.735
Jan 2016,187063.618
Dec 2015,187203.047
Dec 2015,
Dec 2015,
Nov 2015,195548.037
Oct 2015,188594.571
Oct 2015,
Oct 2015,
Sep 2015,175587.987
Aug 2015,162108.619
Jul 2015,155951.855
Jul 2015,
Jul 2015,
Jun 2015,157938.077
May 2015,166436.597
May 2015,
May 2015,
Apr 2015,172809.335
Mar 2015,167063.409
Mar 2015,
Mar 2015,
Feb 2015,154346.698
Jan 2015,149071.287
Dec 2014,154389.578
Dec 2014,
Dec 2014,
Nov 2014,151548.454
Oct 2014,142595.396
Oct 2014,
Oct 2014,
Sep 2014,136964.254
Aug 2014,124546.118
Jul 2014,121369.132
Jul 2014,
Jul 2014,
Jun 2014,125869.913
May 2014,133479.434
May 2014,
May 2014,
Apr 2014,136920.563
Mar 2014,128925.018
Mar 2014,
Mar 2014,
Feb 2014,118260.238
Jan 2014,119904.283
Dec 2013,133704.727
Dec 2013,
Dec 2013,
Nov 2013,147884.247
Oct 2013,156248.81
Oct 2013,
Oct 2013,
Sep 2013,154194.206
Aug 2013,152693.941
Jul 2013,154567.047
Jul 2013,
Jul 2013,
Jun 2013,160019.272
May 2013,171123.564
May 2013,
May 2013,
Apr 2013,177174.077
Mar 2013,173014.216
Mar 2013,
Mar 2013,
Feb 2013,171736.37
Jan 2013,175565.053
Dec 2012,178858.963
Dec 2012,
Dec 2012,
Nov 2012,185115.833
Oct 2012,188291.324
Oct 2012,
Oct 2012,
Sep 2012,186396.134
Aug 2012,182019.651
Jul 2012,178536.947
Jul 2012,
Jul 2012,
Jun 2012,183958.454
May 2012,197923.99
May 2012,
May 2012,
Apr 2012,203137.445
Mar 2012,202265.393
Mar 2012,
Mar 2012,
Feb 2012,195379.811
Jan 2012,186865.52
Dec 2011,180091.309
Dec 2011,
Dec 2011,
Nov 2011,172386.68
Oct 2011,167754.198
Oct 2011,
Oct 2011,
Sep 2011,156195.866
Aug 2011,143710.892
Jul 2011,138526.977
Jul 2011,
Jul 2011,
Jun 2011,147296.233
May 2011,165149.05
May 2011,
May 2011,
Apr 2011,174092.958
Mar 2011,173427.454
Mar 2011,
Mar 2011,
Feb 2011,166255.223
Jan 2011,161063.554
Dec 2010,164574.53
Dec 2010,
Dec 2010,
Nov 2010,174917.26
Oct 2010,183388.507
Oct 2010,
Oct 2010,
Sep 2010,175686.467
Aug 2010,163775.651
Jul 2010,159987.344
Jul 2010,
Jul 2010,
Jun 2010,169504.36
May 2010,181489.676
May 2010,
May 2010,
Apr 2010,191668.986
Mar 2010,189260.269
Mar 2010,
Mar 2010,
Feb 2010,177741.587
Jan 2010,171025.848
Dec 2009,178091.097
Dec 2009,
Dec 2009,
Nov 2009,189466.761
Oct 2009,203765.023
Oct 2009,
Oct 2009,
Sep 2009,199476.596
Aug 2009,197208.096
Jul 2009,191531.706
Jul 2009,
Jul 2009,
Jun 2009,193562.749
May 2009,195655.837
May 2009,
May 2009,
Apr 2009,195103.402
Mar 2009,185790.344
Mar 2009,
Mar 2009,
Feb 2009,174222.814
Jan 2009,160600.799
Dec 2008,156075.239
Dec 2008,
Dec 2008,
Nov 2008,161588.607
Oct 2008,163390.189
Oct 2008,
Oct 2008,
Sep 2008,155658.954
Aug 2008,143903.317
Jul 2008,139351.847
Jul 2008,
Jul 2008,
Jun 2008,142572.23
May 2008,152542.197
May 2008,
May 2008,
Apr 2008,159408.415
Mar 2008,154029.273
Mar 2008,
Mar 2008,
Feb 2008,146497.086
Jan 2008,142782.006
Dec 2007,146972.684
