year,month,state,type_of_producer,energy_source,generation_mwh,date
2001,1,DC,Total Electric Power Industry,Petroleum,9251,2001-01-01
2001,1,DC,Total Electric Power Industry,Total,9251,2001-01-01
2001,1,DC,"Electric Generators, Independent Power Producers",Petroleum,9251,2001-01-01
2001,1,DC,"Electric Generators, Independent Power Producers",Total,9251,2001-01-01
2001,2,DC,Total Electric Power Industry,Petroleum,0,2001-02-01
2001,2,DC,Total Electric Power Industry,Total,0,2001-02-01
2001,2,DC,"Electric Generators, Independent Power Producers",Petroleum,0,2001-02-01
2001,2,DC,"Electric Generators, Independent Power Producers",Total,0,2001-02-01
2001,3,DC,Total Electric Power Industry,Petroleum,0,2001-03-01
2001,3,DC,Total Electric Power Industry,Total,0,2001-03-01
2001,3,DC,"Electric Generators, Independent Power Producers",Petroleum,0,2001-03-01
2001,3,DC,"Electric Generators, Independent Power Producers",Total,0,2001-03-01
2001,4,DC,Total Electric Power Industry,Petroleum,766,2001-04-01
2001,4,DC,Total Electric Power Industry,Total,766,2001-04-01
2001,4,DC,"Electric Generators, Independent Power Producers",Petroleum,766,2001-04-01
2001,4,DC,"Electric Generators, Independent Power Producers",Total,766,2001-04-01
2001,5,DC,Total Electric Power Industry,Petroleum,5921,2001-05-01
2001,5,DC,Total Electric Power Industry,Total,5921,2001-05-01
2001,5,DC,"Electric Generators, Independent Power Producers",Petroleum,5921,2001-05-01
2001,5,DC,"Electric Generators, Independent Power Producers",Total,5921,2001-05-01
2001,6,DC,Total Electric Power Industry,Petroleum,488,2001-06-01
2001,6,DC,Total Electric Power Industry,Total,488,2001-06-01
2001,6,DC,"Electric Generators, Independent Power Producers",Petroleum,488,2001-06-01
2001,6,DC,"Electric Generators, Independent Power Producers",Total,488,2001-06-01
2001,7,DC,Total Electric Power Industry,Petroleum,24107,2001-07-01
2001,7,DC,Total Electric Power Industry,Total,24107,2001-07-01
2001,7,DC,"Electric Generators, Independent Power Producers",Petroleum,24107,2001-07-01
2001,7,DC,"Electric Generators, Independent Power Producers",Total,24107,2001-07-01
2001,8,DC,Total Electric Power Industry,Petroleum,47587,2001-08-01
2001,8,DC,Total Electric Power Industry,Total,47587,2001-08-01
2001,8,DC,"Electric Generators, Independent Power Producers",Petroleum,47587,2001-08-01
2001,8,DC,"Electric Generators, Independent Power Producers",Total,47587,2001-08-01
2001,9,DC,Total Electric Power Industry,Petroleum,0,2001-09-01
2001,9,DC,Total Electric Power Industry,Total,0,2001-09-01
2001,9,DC,"Electric Generators, Independent Power Producers",Petroleum,0,2001-09-01
2001,9,DC,"Electric Generators, Independent Power Producers",Total,0,2001-09-01
2001,10,DC,Total Electric Power Industry,Petroleum,3497,2001-10-01
2001,10,DC,Total Electric Power Industry,Total,3497,2001-10-01
2001,10,DC,"Electric Generators, Independent Power Producers",Petroleum,3497,2001-10-01
2001,10,DC,"Electric Generators, Independent Power Producers",Total,3497,2001-10-01
2001,11,DC,Total Electric Power Industry,Petroleum,31622,2001-11-01
2001,11,DC,Total Electric Power Industry,Total,31622,2001-11-01
2001,11,DC,"Electric Generators, Independent Power Producers",Petroleum,31622,2001-11-01
2001,11,DC,"Electric Generators, Independent Power Producers",Total,31622,2001-11-01
2001,12,DC,Total Electric Power Industry,Petroleum,0,2001-12-01
2001,12,DC,Total Electric Power Industry,Total,0,2001-12-01
2001,12,DC,"Electric Generators, Independent Power Producers",Petroleum,0,2001-12-01
2001,12,DC,"Electric Generators, Independent Power Producers",Total,0,2001-12-01
2002,1,DC,Total Electric Power Industry,Petroleum,-1033,2002-01-01
2002,1,DC,Total Electric Power Industry,Total,-1033,2002-01-01
2002,1,DC,"Electric Generators, Independent Power Producers",Petroleum,-1033,2002-01-01
2002,1,DC,"Electric Generators, Independent Power Producers",Total,-1033,2002-01-01
2002,2,DC,Total Electric Power Industry,Petroleum,4729,2002-02-01
2002,2,DC,Total Electric Power Industry,Total,4729,2002-02-01
2002,2,DC,"Electric Generators, Independent Power Producers",Petroleum,4729,2002-02-01
2002,2,DC,"Electric Generators, Independent Power Producers",Total,4729,2002-02-01
2002,3,DC,Total Electric Power Industry,Petroleum,11399,2002-03-01
2002,3,DC,Total Electric Power Industry,Total,11399,2002-03-01
2002,3,DC,"Electric Generators, Independent Power Producers",Petroleum,11399,2002-03-01
2002,3,DC,"Electric Generators, Independent Power Producers",Total,11399,2002-03-01
2002,4,DC,Total Electric Power Industry,Petroleum,22998,2002-04-01
2002,4,DC,Total Electric Power Industry,Total,22998,2002-04-01
2002,4,DC,"Electric Generators, Independent Power Producers",Petroleum,22998,2002-04-01
2002,4,DC,"Electric Generators, Independent Power Producers",Total,22998,2002-04-01
2002,5,DC,Total Electric Power Industry,Petroleum,-616,2002-05-01
2002,5,DC,Total Electric Power Industry,Total,-616,2002-05-01
2002,5,DC,"Electric Generators, Independent Power Producers",Petroleum,-616,2002-05-01
2002,5,DC,"Electric Generators, Independent Power Producers",Total,-616,2002-05-01
2002,6,DC,Total Electric Power Industry,Petroleum,30828,2002-06-01
2002,6,DC,Total Electric Power Industry,Total,30828,2002-06-01
2002,6,DC,"Electric Generators, Independent Power Producers",Petroleum,30828,2002-06-01
2002,6,DC,"Electric Generators, Independent Power Producers",Total,30828,2002-06-01
2002,7,DC,Total Electric Power Industry,Petroleum,101334,2002-07-01
2002,7,DC,Total Electric Power Industry,Total,101334,2002-07-01
2002,7,DC,"Electric Generators, Independent Power Producers",Petroleum,101334,2002-07-01
2002,7,DC,"Electric Generators, Independent Power Producers",Total,101334,2002-07-01
2002,8,DC,Total Electric Power Industry,Petroleum,85726,2002-08-01
2002,8,DC,Total Electric Power Industry,Total,85726,2002-08-01
2002,8,DC,"Electric Generators, Independent Power Producers",Petroleum,85726,2002-08-01
2002,8,DC,"Electric Generators, Independent Power Producers",Total,85726,2002-08-01
2002,9,DC,Total Electric Power Industry,Petroleum,3170,2002-09-01
2002,9,DC,Total Electric Power Industry,Total,3170,2002-09-01
2002,9,DC,"Electric Generators, Independent Power Producers",Petroleum,3170,2002-09-01
2002,9,DC,"Electric Generators, Independent Power Producers",Total,3170,2002-09-01
2002,10,DC,Total Electric Power Industry,Petroleum,-565,2002-10-01
2002,10,DC,Total Electric Power Industry,Total,-565,2002-10-01
2002,10,DC,"Electric Generators, Independent Power Producers",Petroleum,-565,2002-10-01
2002,10,DC,"Electric Generators, Independent Power Producers",Total,-565,2002-10-01
2002,11,DC,Total Electric Power Industry,Petroleum,421,2002-11-01
2002,11,DC,Total Electric Power Industry,Total,421,2002-11-01
2002,11,DC,"Electric Generators, Independent Power Producers",Petroleum,421,2002-11-01
2002,11,DC,"Electric Generators, Independent Power Producers",Total,421,2002-11-01
2002,12,DC,Total Electric Power Industry,Petroleum,3589,2002-12-01
2002,12,DC,Total Electric Power Industry,Total,3589,2002-12-01
2002,12,DC,"Electric Generators, Independent Power Producers",Petroleum,3589,2002-12-01
2002,12,DC,"Electric Generators, Independent Power Producers",Total,3589,2002-12-01
2003,1,DC,Total Electric Power Industry,Petroleum,9933,2003-01-01
2003,1,DC,Total Electric Power Industry,Total,9933,2003-01-01
2003,1,DC,"Electric Generators, Independent Power Producers",Petroleum,9933,2003-01-01
2003,1,DC,"Electric Generators, Independent Power Producers",Total,9933,2003-01-01
