date;state;generation_mwh;Heat_and_power_comm_power;Heat_and_Power_Electric_Power;Electric_Generators_Electric_Utilities;Electric_Generators_Independent_Power_Producers;Total_Electric_Power_Industry;Natural_Gas;Other_Biomass;Petroleum;Solar_Thermal_and_Photovoltaic;Total
01/01/2001;DC;37004.0;0;0;0;2;2;0;0;2;0;2
02/01/2001;DC;0.0;0;0;0;2;2;0;0;2;0;2
03/01/2001;DC;0.0;0;0;0;2;2;0;0;2;0;2
04/01/2001;DC;3064.0;0;0;0;2;2;0;0;2;0;2
05/01/2001;DC;23684.0;0;0;0;2;2;0;0;2;0;2
06/01/2001;DC;1952.0;0;0;0;2;2;0;0;2;0;2
07/01/2001;DC;96428.0;0;0;0;2;2;0;0;2;0;2
08/01/2001;DC;190348.0;0;0;0;2;2;0;0;2;0;2
09/01/2001;DC;0.0;0;0;0;2;2;0;0;2;0;2
10/01/2001;DC;13988.0;0;0;0;2;2;0;0;2;0;2
11/01/2001;DC;126488.0;0;0;0;2;2;0;0;2;0;2
12/01/2001;DC;0.0;0;0;0;2;2;0;0;2;0;2
01/01/2002;DC;-4132.0;0;0;0;2;2;0;0;2;0;2
02/01/2002;DC;18916.0;0;0;0;2;2;0;0;2;0;2
03/01/2002;DC;45596.0;0;0;0;2;2;0;0;2;0;2
04/01/2002;DC;91992.0;0;0;0;2;2;0;0;2;0;2
05/01/2002;DC;-2464.0;0;0;0;2;2;0;0;2;0;2
06/01/2002;DC;123312.0;0;0;0;2;2;0;0;2;0;2
07/01/2002;DC;405336.0;0;0;0;2;2;0;0;2;0;2
08/01/2002;DC;342904.0;0;0;0;2;2;0;0;2;0;2
09/01/2002;DC;12680.0;0;0;0;2;2;0;0;2;0;2
10/01/2002;DC;-2260.0;0;0;0;2;2;0;0;2;0;2
11/01/2002;DC;1684.0;0;0;0;2;2;0;0;2;0;2
12/01/2002;DC;14356.0;0;0;0;2;2;0;0;2;0;2
01/01/2003;DC;39732.0;0;0;0;2;2;0;0;2;0;2
02/01/2003;DC;50196.0;0;0;0;2;2;0;0;2;0;2
03/01/2003;DC;52344.0;0;0;0;2;2;0;0;2;0;2
04/01/2003;DC;3056.0;0;0;0;2;2;0;0;2;0;2
05/01/2003;DC;6456.0;0;0;0;2;2;0;0;2;0;2
06/01/2003;DC;14208.0;0;0;0;2;2;0;0;2;0;2
07/01/2003;DC;42964.0;0;0;0;2;2;0;0;2;0;2
08/01/2003;DC;98268.0;0;0;0;2;2;0;0;2;0;2
