DATE;Combined Heat and Power. Commercial Power;Combined Heat and Power. Electric Power;Electric Generators. Electric Utilities;Electric Generators. Independent Power Producers;Natural Gas;Other Biomass;Petroleum;Solar Thermal and Photovoltaic; Revenue_residential ;Sales_residential;Customers_residential; Price_residential ; Revenue_commercial ;Sales_commercial;Customers_commercial; Price_commercial ; Revenue_industrial ;Sales_industrial;Customers_industrial; Price_industrial ; Revenue_transportation ;Sales_transportation;Customers_transportation; Price_transportation ; Revenue_total ;Sales_total;Customers_total; Price_total ;tavg;tmin;tmax;prcp;wspd;pres
01/01/2001;0;0;0;9251;0;0;9251;0;14386;200794;0;7.16;41142;671941;0;6.12;899;21059;0;4.27;0;0;0;0;58609;923284;0;6.35;1.9;-2.2;6;56;12.7;1019.3
01/02/2001;0;0;0;0;0;0;0;0;10693;155062;0;6.9;40115;621924;0;6.45;852;19564;0;4.35;0;0;0;0;53724;823314;0;6.53;4.9;-0.2;9.9;47;15.3;1023.3
01/03/2001;0;0;0;0;0;0;0;0;9073;136367;0;6.65;46443;733506;0;6.33;1011;23974;0;4.22;0;0;0;0;58504;924844;0;6.33;6.6;1.7;11.4;101;18;1014.2
01/04/2001;0;0;0;766;0;0;766;0;7227;108247;0;6.68;41435;648962;0;6.38;996;22352;0;4.46;0;0;0;0;50637;807525;0;6.27;14.1;8.2;20;43;14.4;1019
01/05/2001;0;0;0;5921;0;0;5921;0;10153;115769;0;8.77;49759;653486;0;7.61;946;22792;0;4.15;0;0;0;0;61807;819698;0;7.54;18.8;13.6;23.9;99;12.9;1017.1
01/06/2001;0;0;0;488;0;0;488;0;14429;160848;0;8.97;76889;867973;0;8.86;1317;23560;0;5.59;0;0;0;0;93641;1082033;0;8.65;24;19.3;28.6;119;12.3;1016.2
01/07/2001;0;0;0;24107;0;0;24107;0;17709;192818;0;9.18;68218;729471;0;9.35;1299;23292;0;5.58;0;0;0;0;88298;977781;0;9.03;24;19.2;28.7;122;14;1016.3
01/08/2001;0;0;0;47587;0;0;47587;0;14930;167507;0;8.91;72164;857253;0;8.42;2217;38608;0;5.74;0;0;0;0;91973;1095931;0;8.39;26;21.7;30.4;76;11.7;1016.6
01/09/2001;0;0;0;0;0;0;0;0;9880;118041;0;8.37;62461;727899;0;8.58;1211;22096;0;5.48;0;0;0;0;76055;899616;0;8.45;20.5;15.5;25.5;37;13.3;1018.3
01/10/2001;0;0;0;3497;0;0;3497;0;6696;100293;0;6.68;51821;692839;0;7.48;962;21595;0;4.45;0;0;0;0;62327;845630;0;7.37;15.3;9.2;21.5;18;13.9;1020.5
01/11/2001;0;0;0;31622;0;0;31622;0;8411;121796;0;6.91;41895;637396;0;6.57;801;17937;0;4.47;0;0;0;0;53647;805884;0;6.66;12.6;6.9;18.4;14;12.9;1022.6
01/12/2001;0;0;0;0;0;0;0;0;8696;121325;0;7.17;43882;696176;0;6.3;993;24085;0;4.12;0;0;0;0;55903;874931;0;6.39;7.4;3;11.8;39;14;1019
01/01/2002;0;0;0;-1033;0;0;1033;0;9971;141744;0;7.03;45384;720801;0;6.3;1158;20309;0;5.7;0;0;0;0;58618;915424;0;6.4;5.3;0.8;9.9;34;14.5;1017.4
01/02/2002;0;0;0;4729;0;0;4729;0;7284;94343;0;7.72;38015;599549;0;6.34;722;20131;0;3.59;0;0;0;0;47966;743199;0;6.45;5.9;0.3;11.4;12;16.5;1019.3
01/03/2002;0;0;0;11399;0;0;11399;0;8664;128102;0;6.76;42899;687437;0;6.24;974;22801;0;4.27;0;0;0;0;54491;869233;0;6.27;8.6;3.2;14.1;86;16.4;1021
01/04/2002;0;0;0;22998;0;0;22998;0;7167;105133;0;6.82;39786;623371;0;6.38;907;20132;0;4.51;0;0;0;0;49706;776936;0;6.4;15.5;9.7;21.3;88;16.1;1019.8
01/05/2002;0;0;0;-616;0;0;616;0;12951;163190;0;7.94;58161;686478;0;8.47;994;20422;0;4.87;0;0;0;0;74194;899098;0;8.25;18.4;12.6;24.1;55;15.1;1017.9
01/06/2002;0;0;0;30828;0;0;30828;0;15218;167168;0;9.1;69391;820535;0;8.46;1257;22274;0;5.64;0;0;0;0;88227;1040705;0;8.48;24.5;19;29.9;97;12.6;1016.6
01/07/2002;0;0;0;101334;0;0;101334;0;14213;154387;0;9.21;70152;825729;0;8.5;1147;21143;0;5.42;0;0;0;0;88587;1056230;0;8.39;27.1;22.2;32;56;13.3;1016.6
01/08/2002;0;0;0;85726;0;0;85726;0;25030;264166;0;9.48;69345;827514;0;8.38;1410;24540;0;5.75;0;0;0;0;98458;1152108;0;8.55;27.2;22;32.4;41;13.7;1018.2
01/09/2002;0;0;0;3170;0;0;3170;0;15684;182682;0;8.59;67029;786940;0;8.52;1379;25277;0;5.46;0;0;0;0;86559;1029696;0;8.41;22.7;17.8;27.6;53;13.8;1018.3
01/10/2002;0;0;0;-565;0;0;565;0;6227;100390;0;6.2;49949;741658;0;6.73;1871;37087;0;5.04;0;0;0;0;60655;924652;0;6.56;14.7;10.8;18.7;127;13.1;1019.7
01/11/2002;0;0;0;421;0;0;421;0;8380;119731;0;7;39424;624849;0;6.31;1162;24949;0;4.66;0;0;0;0;50954;799984;0;6.37;8.4;4.1;12.6;110;14.6;1016.2
01/12/2002;0;0;0;3589;0;0;3589;0;12034;169066;0;7.12;43436;700225;0;6.2;1013;23332;0;4.34;0;0;0;0;58472;921477;0;6.35;2.8;-1.2;6.9;113;14.1;1018.5
01/01/2003;0;0;0;9933;0;0;9933;0;12980;183692;0;7.07;45169;728044;0;6.2;964;18698;0;5.16;3259;26190;0;12.44;62373;956625;0;6.52;-0.5;-4.1;3;61;16.8;1017.8
01/02/2003;0;0;0;12549;0;0;12549;0;11911;169705;0;7.02;40717;637796;0;6.38;727;14505;0;5.01;1462;17971;0;8.14;54817;839977;0;6.53;0.9;-2.5;4.3;138;14.2;1018.1
01/03/2003;0;0;0;13086;0;0;13086;0;10105;145032;0;6.97;42510;673239;0;6.31;1132;24025;0;4.71;1760;24061;0;7.31;55506;866356;0;6.41;8.3;2.7;13.9;107;14.4;1016.9
01/04/2003;0;0;0;764;0;0;764;0;6718;97582;0;6.88;44901;696800;0;6.44;840;17349;0;4.84;1655;22316;0;7.42;54113;834047;0;6.49;12.7;7.4;17.9;65;16.1;1017
01/05/2003;0;0;0;1614;0;0;1614;0;7543;85350;0;8.84;57610;704529;0;8.18;1002;13705;0;7.31;1682;23158;0;7.26;67838;826742;0;8.21;16.4;12.6;20.2;181;12.6;1015.1
01/06/2003;0;0;0;3552;0;0;3552;0;12795;142207;0;9;64626;764803;0;8.45;1235;18223;0;6.78;1627;23914;0;6.8;80283;949147;0;8.46;21.8;17.5;26.2;200;12.4;1014.2
01/07/2003;0;0;0;10741;0;0;10741;0;19350;211748;0;9.14;72362;847695;0;8.54;1302;22352;0;5.82;1756;25829;0;6.8;94771;1107624;0;8.56;25.4;21.2;29.6;147;12.8;1015.6
01/08/2003;0;0;0;24567;0;0;24567;0;19329;215581;0;8.97;71913;838579;0;8.58;1314;21224;0;6.19;1839;27301;0;6.74;94395;1102686;0;8.56;26;22;29.9;118;11.3;1016.9
01/09/2003;0;0;0;-599;0;0;599;0;12734;152325;0;8.36;62105;721287;0;8.61;1286;21491;0;5.98;1772;25878;0;6.85;77897;920981;0;8.46;21.3;17.1;25.4;175;14.1;1018.3
01/10/2003;0;0;0;-625;0;0;625;0;4708;73881;0;6.37;50976;732488;0;6.96;1246;20187;0;6.17;1705;23555;0;7.24;58634;850111;0;6.9;14.1;9.3;18.9;100;12.8;1017.1
01/11/2003;0;0;0;-645;0;0;645;0;9000;131909;0;6.82;43418;668397;0;6.5;1882;37367;0;5.04;1820;25815;0;7.05;56119;863488;0;6.5;11.7;6.9;16.5;107;12.7;1019.7
01/12/2003;0;0;0;-793;0;0;793;0;10404;145290;0;7.16;39069;625690;0;6.24;1951;38122;0;5.12;1479;19498;0;7.59;52903;828600;0;6.38;3.9;-0.2;8.1;110;16;1019.4
01/01/2004;0;0;0;15820;0;0;15820;0;14540;201936;0;7.2;46102;715766;0;6.44;1284;28408;0;4.52;745;25652;0;2.9;62670;971762;0;6.45;-0.9;-5;3.2;35;16.9;1018.3
01/02/2004;0;0;0;1829;0;0;1829;0;11798;162229;0;7.27;47752;733345;0;6.51;1112;22908;0;4.85;2897;21389;0;13.54;63559;939871;0;6.76;3.4;-1.3;8.1;58;14.2;1023
01/03/2004;0;0;0;549;0;0;549;0;9007;125615;0;7.17;44105;695796;0;6.34;952;21836;0;4.36;651;22532;0;2.89;54716;865779;0;6.32;9.3;4;14.5;53;15.6;1021.7
