date;state;energy_source;generation_mwh;type_of_producer_Combined Heat and Power, Commercial Power;type_of_producer_Combined Heat and Power, Electric Power;type_of_producer_Electric Generators, Electric Utilities;type_of_producer_Electric Generators, Independent Power Producers;type_of_producer_Total Electric Power Industry;energy_source_Natural Gas;energy_source_Other Biomass;energy_source_Petroleum;energy_source_Solar Thermal and Photovoltaic;energy_source_Total
2001-01-01;DC;PetroleumTotalPetroleumTotal;37004.0;0;0;0;2;2;0;0;2;0;2
2001-01-02;DC;PetroleumTotalPetroleumTotal;0.0;0;0;0;2;2;0;0;2;0;2
2001-01-03;DC;PetroleumTotalPetroleumTotal;0.0;0;0;0;2;2;0;0;2;0;2
2001-01-04;DC;PetroleumTotalPetroleumTotal;3064.0;0;0;0;2;2;0;0;2;0;2
2001-01-05;DC;PetroleumTotalPetroleumTotal;23684.0;0;0;0;2;2;0;0;2;0;2
2001-01-06;DC;PetroleumTotalPetroleumTotal;1952.0;0;0;0;2;2;0;0;2;0;2
2001-01-07;DC;PetroleumTotalPetroleumTotal;96428.0;0;0;0;2;2;0;0;2;0;2
2001-01-08;DC;PetroleumTotalPetroleumTotal;190348.0;0;0;0;2;2;0;0;2;0;2
2001-01-09;DC;PetroleumTotalPetroleumTotal;0.0;0;0;0;2;2;0;0;2;0;2
2001-01-10;DC;PetroleumTotalPetroleumTotal;13988.0;0;0;0;2;2;0;0;2;0;2
2001-01-11;DC;PetroleumTotalPetroleumTotal;126488.0;0;0;0;2;2;0;0;2;0;2
2001-01-12;DC;PetroleumTotalPetroleumTotal;0.0;0;0;0;2;2;0;0;2;0;2
2002-01-01;DC;PetroleumTotalPetroleumTotal;-4132.0;0;0;0;2;2;0;0;2;0;2
2002-01-02;DC;PetroleumTotalPetroleumTotal;18916.0;0;0;0;2;2;0;0;2;0;2
2002-01-03;DC;PetroleumTotalPetroleumTotal;45596.0;0;0;0;2;2;0;0;2;0;2
2002-01-04;DC;PetroleumTotalPetroleumTotal;91992.0;0;0;0;2;2;0;0;2;0;2
2002-01-05;DC;PetroleumTotalPetroleumTotal;-2464.0;0;0;0;2;2;0;0;2;0;2
2002-01-06;DC;PetroleumTotalPetroleumTotal;123312.0;0;0;0;2;2;0;0;2;0;2
2002-01-07;DC;PetroleumTotalPetroleumTotal;405336.0;0;0;0;2;2;0;0;2;0;2
