date_mdy_;state;type_of_producer_Combined Heat and Power, Commercial Power;type_of_producer_Combined Heat and Power, Electric Power;type_of_producer_Electric Generators, Electric Utilities;type_of_producer_Electric Generators, Independent Power Producers;type_of_producer_Total Electric Power Industry;energy_source_Natural Gas;energy_source_Other Biomass;energy_source_Petroleum;energy_source_Solar Thermal and Photovoltaic;energy_source_Total;generation_mwh
01/01/2001;DC;0;0;0;2;2;0;0;2;0;2;37004.0
02/01/2001;DC;0;0;0;2;2;0;0;2;0;2;0.0
03/01/2001;DC;0;0;0;2;2;0;0;2;0;2;0.0
04/01/2001;DC;0;0;0;2;2;0;0;2;0;2;3064.0
05/01/2001;DC;0;0;0;2;2;0;0;2;0;2;23684.0
06/01/2001;DC;0;0;0;2;2;0;0;2;0;2;1952.0
07/01/2001;DC;0;0;0;2;2;0;0;2;0;2;96428.0
08/01/2001;DC;0;0;0;2;2;0;0;2;0;2;190348.0
09/01/2001;DC;0;0;0;2;2;0;0;2;0;2;0.0
10/01/2001;DC;0;0;0;2;2;0;0;2;0;2;13988.0
11/01/2001;DC;0;0;0;2;2;0;0;2;0;2;126488.0
12/01/2001;DC;0;0;0;2;2;0;0;2;0;2;0.0
01/01/2002;DC;0;0;0;2;2;0;0;2;0;2;-4132.0
02/01/2002;DC;0;0;0;2;2;0;0;2;0;2;18916.0
03/01/2002;DC;0;0;0;2;2;0;0;2;0;2;45596.0
04/01/2002;DC;0;0;0;2;2;0;0;2;0;2;91992.0
05/01/2002;DC;0;0;0;2;2;0;0;2;0;2;-2464.0
06/01/2002;DC;0;0;0;2;2;0;0;2;0;2;123312.0
07/01/2002;DC;0;0;0;2;2;0;0;2;0;2;405336.0
08/01/2002;DC;0;0;0;2;2;0;0;2;0;2;342904.0
09/01/2002;DC;0;0;0;2;2;0;0;2;0;2;12680.0
10/01/2002;DC;0;0;0;2;2;0;0;2;0;2;-2260.0
11/01/2002;DC;0;0;0;2;2;0;0;2;0;2;1684.0
12/01/2002;DC;0;0;0;2;2;0;0;2;0;2;14356.0
01/01/2003;DC;0;0;0;2;2;0;0;2;0;2;39732.0
02/01/2003;DC;0;0;0;2;2;0;0;2;0;2;50196.0
03/01/2003;DC;0;0;0;2;2;0;0;2;0;2;52344.0
04/01/2003;DC;0;0;0;2;2;0;0;2;0;2;3056.0
05/01/2003;DC;0;0;0;2;2;0;0;2;0;2;6456.0
06/01/2003;DC;0;0;0;2;2;0;0;2;0;2;14208.0
07/01/2003;DC;0;0;0;2;2;0;0;2;0;2;42964.0
08/01/2003;DC;0;0;0;2;2;0;0;2;0;2;98268.0
09/01/2003;DC;0;0;0;2;2;0;0;2;0;2;-2396.0
10/01/2003;DC;0;0;0;2;2;0;0;2;0;2;-2500.0
11/01/2003;DC;0;0;0;2;2;0;0;2;0;2;-2580.0
12/01/2003;DC;0;0;0;2;2;0;0;2;0;2;-3172.0
01/01/2004;DC;0;0;0;2;2;0;0;2;0;2;63280.0
02/01/2004;DC;0;0;0;2;2;0;0;2;0;2;7316.0
03/01/2004;DC;0;0;0;2;2;0;0;2;0;2;2196.0
04/01/2004;DC;0;0;0;2;2;0;0;2;0;2;-2252.0
05/01/2004;DC;0;0;0;2;2;0;0;2;0;2;10696.0
06/01/2004;DC;0;0;0;2;2;0;0;2;0;2;24616.0
07/01/2004;DC;0;0;0;2;2;0;0;2;0;2;6720.0
08/01/2004;DC;0;0;0;2;2;0;0;2;0;2;18420.0
09/01/2004;DC;0;0;0;2;2;0;0;2;0;2;4004.0
10/01/2004;DC;0;0;0;2;2;0;0;2;0;2;-2536.0
11/01/2004;DC;0;0;0;2;2;0;0;2;0;2;-2792.0
12/01/2004;DC;0;0;0;2;2;0;0;2;0;2;16280.0
01/01/2005;DC;0;0;0;2;2;0;0;2;0;2;8372.0
02/01/2005;DC;0;0;0;2;2;0;0;2;0;2;860.0
03/01/2005;DC;0;0;0;2;2;0;0;2;0;2;-4376.0
04/01/2005;DC;0;0;0;2;2;0;0;2;0;2;-2396.0
05/01/2005;DC;0;0;0;2;2;0;0;2;0;2;-2440.0
06/01/2005;DC;0;0;0;2;2;0;0;2;0;2;169344.0
07/01/2005;DC;0;0;0;2;2;0;0;2;0;2;361964.0
08/01/2005;DC;0;0;0;2;2;0;0;2;0;2;301108.0
09/01/2005;DC;0;0;0;2;2;0;0;2;0;2;15892.0
10/01/2005;DC;0;0;0;2;2;0;0;2;0;2;36672.0
11/01/2005;DC;0;0;0;2;2;0;0;2;0;2;12.0
12/01/2005;DC;0;0;0;2;2;0;0;2;0;2;19156.0
01/01/2006;DC;0;0;0;2;2;0;0;2;0;2;9408.0
02/01/2006;DC;0;0;0;2;2;0;0;2;0;2;5896.0
03/01/2006;DC;0;0;0;2;2;0;0;2;0;2;-1316.0
04/01/2006;DC;0;0;0;2;2;0;0;2;0;2;600.0
05/01/2006;DC;0;0;0;2;2;0;0;2;0;2;6824.0
