time,tavg,tmin,tmax,prcp,wspd,pres,tsun
2001-01-01,1.9,-2.2,6.0,56.0,12.7,1019.3,
2001-02-01,4.9,-0.2,9.9,47.0,15.3,1023.3,
2001-03-01,6.6,1.7,11.4,101.0,18.0,1014.2,
2001-04-01,14.1,8.2,20.0,43.0,14.4,1019.0,
2001-05-01,18.8,13.6,23.9,99.0,12.9,1017.1,
2001-06-01,24.0,19.3,28.6,119.0,12.3,1016.2,
2001-07-01,24.0,19.2,28.7,122.0,14.0,1016.3,
2001-08-01,26.0,21.7,30.4,76.0,11.7,1016.6,
2001-09-01,20.5,15.5,25.5,37.0,13.3,1018.3,
2001-10-01,15.3,9.2,21.5,18.0,13.9,1020.5,
2001-11-01,12.6,6.9,18.4,14.0,12.9,1022.6,
2001-12-01,7.4,3.0,11.8,39.0,14.0,1019.0,
2002-01-01,5.3,0.8,9.9,34.0,14.5,1017.4,
2002-02-01,5.9,0.3,11.4,12.0,16.5,1019.3,
2002-03-01,8.6,3.2,14.1,86.0,16.4,1021.0,
2002-04-01,15.5,9.7,21.3,88.0,16.1,1019.8,
2002-05-01,18.4,12.6,24.1,55.0,15.1,1017.9,
2002-06-01,24.5,19.0,29.9,97.0,12.6,1016.6,
2002-07-01,27.1,22.2,32.0,56.0,13.3,1016.6,
2002-08-01,27.2,22.0,32.4,41.0,13.7,1018.2,
2002-09-01,22.7,17.8,27.6,53.0,13.8,1018.3,
2002-10-01,14.7,10.8,18.7,127.0,13.1,1019.7,
2002-11-01,8.4,4.1,12.6,110.0,14.6,1016.2,
2002-12-01,2.8,-1.2,6.9,113.0,14.1,1018.5,
2003-01-01,-0.5,-4.1,3.0,61.0,16.8,1017.8,
2003-02-01,0.9,-2.5,4.3,138.0,14.2,1018.1,
2003-03-01,8.3,2.7,13.9,107.0,14.4,1016.9,
2003-04-01,12.7,7.4,17.9,65.0,16.1,1017.0,
2003-05-01,16.4,12.6,20.2,181.0,12.6,1015.1,0.0
2003-06-01,21.8,17.5,26.2,200.0,12.4,1014.2,
2003-07-01,25.4,21.2,29.6,147.0,12.8,1015.6,
2003-08-01,26.0,22.0,29.9,118.0,11.3,1016.9,
2003-09-01,21.3,17.1,25.4,175.0,14.1,1018.3,
2003-10-01,14.1,9.3,18.9,100.0,12.8,1017.1,
2003-11-01,11.7,6.9,16.5,107.0,12.7,1019.7,
2003-12-01,3.9,-0.2,8.1,110.0,16.0,1019.4,
2004-01-01,-0.9,-5.0,3.2,35.0,16.9,1018.3,
2004-02-01,3.4,-1.3,8.1,58.0,14.2,1023.0,
2004-03-01,9.3,4.0,14.5,53.0,15.6,1021.7,
2004-04-01,14.0,9.0,19.1,98.0,16.3,1014.9,
2004-05-01,22.1,17.1,27.0,76.0,14.2,1016.8,
2004-06-01,23.0,18.5,27.4,117.0,13.8,1016.9,
2004-07-01,25.8,21.8,29.9,177.0,12.5,1014.4,
2004-08-01,24.3,20.3,28.3,129.0,12.5,1016.6,
2004-09-01,22.0,17.8,26.1,101.0,11.5,1020.0,
2004-10-01,14.6,10.4,18.7,44.0,10.4,1017.9,
2004-11-01,10.5,6.1,14.9,115.0,11.3,1021.8,
2004-12-01,4.4,-0.1,8.9,78.0,13.5,1019.3,
2005-01-01,2.2,-1.6,6.1,84.0,14.2,1023.9,
2005-02-01,4.2,-0.6,9.0,41.0,13.5,1021.4,
2005-03-01,6.1,1.5,10.6,113.0,15.7,1012.5,
2005-04-01,14.0,8.4,19.5,110.0,14.9,1013.6,
2005-05-01,16.5,11.4,21.6,117.0,14.5,1015.3,
2005-06-01,24.2,19.5,29.0,73.0,13.6,1015.9,
2005-07-01,27.0,22.6,31.4,98.0,10.7,1016.1,
2005-08-01,26.7,22.3,31.1,59.0,11.5,1016.3,
2005-09-01,23.8,18.4,29.3,3.0,12.4,1019.3,
2005-10-01,15.8,11.7,19.9,239.0,14.3,1016.9,
2005-11-01,10.0,4.6,15.4,49.0,14.9,1018.4,
2005-12-01,2.4,-1.4,6.2,85.0,13.1,1018.1,
2006-01-01,6.1,1.5,10.7,83.0,16.2,1016.3,
2006-02-01,3.6,-0.9,8.1,63.0,15.6,1017.3,
2006-03-01,8.8,3.4,14.1,1.0,17.3,1017.4,
2006-04-01,15.2,9.5,20.9,79.0,14.8,1014.6,
2006-05-01,18.3,12.8,23.8,56.0,13.6,1012.2,
2006-06-01,23.6,18.7,28.5,356.0,13.4,1014.7,
2006-07-01,26.9,22.2,31.6,90.0,13.0,1016.4,
2006-08-01,26.9,22.0,31.8,26.0,13.7,1015.9,
2006-09-01,19.8,15.8,23.8,160.0,12.7,1016.2,
2006-10-01,14.0,9.1,19.0,129.0,12.8,1016.2,
2006-11-01,10.3,5.9,14.7,131.0,13.1,1019.3,
2006-12-01,6.7,1.9,11.6,40.0,11.4,1023.3,
2007-01-01,4.8,0.6,9.0,63.0,14.6,1019.7,
2007-02-01,-0.6,-4.7,3.4,56.0,16.0,1017.1,
2007-03-01,8.7,2.9,14.5,81.0,16.4,1021.9,
2007-04-01,11.9,6.8,17.0,106.0,15.4,1013.1,
2007-05-01,19.9,14.4,25.4,45.0,13.9,1020.2,
2007-06-01,24.4,19.4,29.4,35.0,12.6,1015.0,
2007-07-01,26.2,20.9,31.6,61.0,12.2,1015.0,
2007-08-01,26.5,21.6,31.3,88.0,11.6,1015.6,
2007-09-01,22.7,17.5,28.0,15.0,11.5,1020.4,
2007-10-01,19.4,14.2,24.6,166.0,11.8,1019.0,
2007-11-01,9.8,5.3,14.3,37.0,13.7,1019.6,
2007-12-01,5.4,1.9,8.8,83.0,12.3,1021.1,
2008-01-01,4.4,0.1,8.7,35.0,13.7,1021.6,
2008-02-01,5.0,0.1,9.9,106.0,13.8,1017.4,
2008-03-01,9.4,4.3,14.6,71.0,15.7,1018.8,
2008-04-01,14.9,10.0,19.7,125.0,12.7,1018.0,
2008-05-01,18.1,12.7,23.5,271.0,14.8,1011.7,
2008-06-01,25.4,20.2,30.7,122.0,11.7,1014.5,
2008-07-01,27.1,22.2,32.1,91.0,11.3,1014.9,
2008-08-01,25.5,20.6,30.3,31.0,11.3,1014.7,
2008-09-01,23.2,18.8,27.7,163.0,12.2,1019.3,
2008-10-01,14.8,9.8,19.9,29.0,12.6,1021.7,
2008-11-01,8.1,4.3,11.8,62.0,13.0,1018.3,
2008-12-01,4.6,0.2,9.0,75.0,14.9,1020.9,
2009-01-01,-0.2,-4.0,3.5,68.0,12.9,1018.4,
2009-02-01,4.3,-1.2,9.8,9.0,17.6,1019.7,
2009-03-01,7.3,2.5,12.0,50.0,14.4,1022.0,
2009-04-01,13.8,8.3,19.3,107.0,14.4,1015.5,
2009-05-01,18.6,13.9,23.2,205.0,12.9,1017.4,
2009-06-01,23.1,18.7,27.5,149.0,12.5,1011.0,
2009-07-01,24.9,20.0,29.9,27.0,12.2,1014.2,
2009-08-01,26.5,21.8,31.3,63.0,10.5,1016.6,
2009-09-01,21.2,16.9,25.5,84.0,12.4,1018.9,
2009-10-01,14.7,10.5,18.9,145.0,13.6,1017.4,
2009-11-01,11.3,7.2,15.3,113.0,12.8,1019.7,
2009-12-01,3.5,-0.3,6.8,149.0,13.7,1019.7,
2010-01-01,1.5,-1.7,7.0,39.0,16.2,1017.4,
2010-02-01,1.2,-2.1,4.5,54.0,16.4,1012.2,
2010-03-01,10.7,5.9,15.5,90.0,15.7,1012.2,
2010-04-01,16.0,9.9,22.0,38.0,13.4,1014.7,
2010-05-01,20.7,15.7,25.7,61.0,13.6,1016.5,
2010-06-01,27.0,21.8,32.1,48.0,13.4,1013.5,
2010-07-01,28.4,23.3,33.5,131.0,11.7,1015.2,
2010-08-01,26.7,22.2,31.3,66.0,11.1,1015.5,
2010-09-01,24.2,18.7,29.7,153.0,13.4,1015.2,
2010-10-01,16.4,11.5,21.2,87.0,14.0,1014.2,
2010-11-01,10.2,5.4,15.1,57.0,11.9,1020.2,
2010-12-01,1.5,-1.9,4.9,45.0,17.3,1015.4,
2011-01-01,1.0,-2.4,4.3,57.0,13.5,1017.1,
2011-02-01,5.4,0.2,10.7,54.0,15.3,1018.0,
2011-03-01,7.6,2.9,12.2,112.0,15.6,1020.5,
2011-04-01,14.9,9.4,20.3,81.0,16.4,1013.8,
2011-05-01,20.2,15.2,25.2,43.0,12.3,1014.3,
2011-06-01,26.0,20.9,31.1,43.0,12.2,1013.6,
2011-07-01,29.2,24.1,34.2,77.0,11.6,1013.9,
2011-08-01,26.6,21.8,31.4,227.0,13.4,1012.0,
2011-09-01,21.8,18.3,25.3,225.0,10.1,1016.4,
2011-10-01,14.6,10.1,19.2,99.0,11.9,1016.5,
2011-11-01,11.4,6.3,16.4,49.0,12.2,1020.3,
2011-12-01,7.3,3.0,11.5,125.0,11.1,1022.7,
2012-01-01,4.9,0.1,9.6,56.0,14.5,1018.3,
2012-02-01,6.9,2.4,11.3,59.0,13.7,1019.1,
2012-03-01,13.8,8.4,19.1,26.0,14.4,1019.6,
2012-04-01,14.6,9.2,20.1,49.0,15.0,1014.2,
2012-05-01,21.9,17.0,26.7,84.0,12.3,1016.1,
2012-06-01,24.6,19.2,30.0,61.0,12.9,1014.4,
2012-07-01,28.9,23.8,34.0,71.0,11.0,1014.4,
2012-08-01,27.2,22.4,32.0,71.0,10.5,1015.6,
2012-09-01,22.3,17.6,27.1,109.0,12.2,1017.5,
2012-10-01,16.1,11.7,20.5,148.0,12.5,1014.9,
2012-11-01,8.1,3.5,12.7,15.0,12.6,1022.7,
2012-12-01,7.4,3.6,11.3,77.0,12.4,1017.5,
2013-01-01,4.6,0.6,8.6,65.0,13.1,1022.2,
2013-02-01,3.5,-0.2,7.3,42.0,15.0,1017.3,
2013-03-01,6.6,2.3,10.8,71.0,17.5,1015.4,
2013-04-01,14.9,9.4,20.5,70.0,14.9,1020.0,
2013-05-01,19.3,14.2,24.3,72.0,14.1,1018.6,
2013-06-01,24.7,20.3,29.1,253.0,12.6,1013.8,
2013-07-01,27.4,23.5,31.3,112.0,12.8,1017.5,
2013-08-01,25.0,20.8,29.3,34.0,11.8,1017.4,
2013-09-01,21.8,16.5,27.2,31.0,11.6,1017.4,
2013-10-01,16.9,12.4,21.4,159.0,11.9,1018.6,
2013-11-01,8.1,3.6,12.6,74.0,14.0,1023.5,
2013-12-01,5.7,1.6,9.9,141.0,12.1,1020.9,
2014-01-01,0.2,-4.6,4.9,66.0,14.5,1018.6,
2014-02-01,3.3,-1.2,7.7,102.0,13.7,1018.7,
2014-03-01,6.1,0.9,11.2,108.0,16.2,1017.4,
2014-04-01,14.1,8.6,19.6,164.0,14.5,1017.4,
2014-05-01,20.3,15.0,25.5,126.0,11.9,1016.7,
2014-06-01,25.1,20.5,29.8,84.0,12.1,1016.0,
2014-07-01,26.3,21.6,31.1,119.0,13.2,1015.6,
2014-08-01,25.4,20.9,29.8,86.0,9.9,1016.9,
2014-09-01,23.3,18.8,27.7,28.0,11.8,1019.4,
2014-10-01,17.2,12.6,21.7,89.0,13.5,1014.6,
2014-11-01,8.9,4.4,13.3,67.0,14.5,1019.1,
2014-12-01,6.5,3.1,9.9,89.0,12.9,1021.6,
2015-01-01,1.9,-1.8,5.9,94.8,13.8,,
2015-02-01,-1.1,-5.8,4.0,42.7,15.6,,
2015-03-01,7.0,2.3,12.5,102.6,13.6,,
2015-04-01,15.3,9.7,20.8,86.8,15.2,,
2015-05-01,22.5,17.7,28.1,48.9,13.0,,
2015-06-01,25.3,21.2,30.1,303.4,13.1,,
2015-07-01,27.2,23.2,31.7,127.4,11.0,,
2015-08-01,26.0,21.4,31.1,29.4,12.2,,
2015-09-01,23.5,19.0,28.6,54.6,12.4,,
2015-10-01,14.7,10.2,19.7,77.3,13.6,,
2015-11-01,12.0,7.4,16.7,53.4,11.8,,
2015-12-01,10.5,6.4,14.9,123.0,11.5,,
2016-01-01,1.6,-2.5,5.9,68.1,15.2,,
2016-02-01,4.3,0.1,8.7,96.2,16.3,,
2016-03-01,11.6,6.7,17.3,29.5,15.8,,
2016-04-01,13.8,8.2,19.4,52.2,16.3,,
2016-05-01,17.3,13.6,21.8,143.6,12.0,,
2016-06-01,24.4,19.6,29.6,93.5,13.6,,
2016-07-01,27.8,23.5,32.9,79.7,12.0,,
2016-08-01,27.8,23.2,33.2,70.9,12.5,,
2016-09-01,24.3,20.3,28.6,63.5,14.2,,
2016-10-01,17.0,12.6,21.9,22.9,13.9,,
2016-11-01,11.0,6.2,16.7,19.3,12.4,,
2016-12-01,5.2,1.3,9.6,66.5,14.9,,
2017-01-01,5.4,2.1,9.2,70.0,15.3,,
2017-02-01,8.4,3.2,14.2,17.3,15.5,,
2017-03-01,8.1,3.3,13.6,81.2,18.2,,
2017-04-01,17.4,12.6,22.7,66.6,14.9,,
2017-05-01,18.5,13.9,23.3,141.1,14.9,,
2017-06-01,25.2,20.1,30.2,28.7,14.9,,
2017-07-01,27.3,23.0,32.2,232.4,12.5,,
